id,x0,y0,x1,y1,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127
0,421,540,568,686,0.5501937866210938,-0.18764489889144897,0.3455887734889984,1.0350860357284546,-0.23272787034511566,-0.17143794894218445,0.27753931283950806,-0.13155341148376465,-0.16621237993240356,-0.21701520681381226,0.2927705645561218,-0.2464868575334549,-0.06674494594335556,0.1550094038248062,0.2126205861568451,-0.1966795176267624,-0.1989394575357437,-0.06931911408901215,-0.0454445481300354,-0.20409350097179413,0.6182805895805359,-0.04776489734649658,0.8566096425056458,0.002443003701046109,0.10417373478412628,-0.0022756538819521666,-0.14619186520576477,-0.12809546291828156,0.2731768488883972,0.15402963757514954,-0.025852147489786148,-0.23659825325012207,-0.16300562024116516,0.18159788846969604,-0.13021358847618103,-0.2126593440771103,-0.2140105664730072,0.26768171787261963,-0.24044808745384216,0.16803428530693054,-0.24605156481266022,-0.18315546214580536,0.27777963876724243,0.19756557047367096,0.11412020027637482,-0.20134834945201874,-0.21430592238903046,0.44346746802330017,0.32746389508247375,0.5714482665061951,0.05059589073061943,-0.05333494767546654,0.3536572754383087,-0.23026584088802338,0.0519661046564579,0.15768343210220337,-0.26482754945755005,-0.034900911152362823,0.5693830251693726,-0.14193086326122284,0.22295956313610077,0.3280281126499176,-0.20806987583637238,-0.14193356037139893,0.24347738921642303,0.11095409095287323,-0.15613925457000732,0.6921874284744263,0.023616544902324677,0.6912529468536377,0.4699234366416931,-0.10353919863700867,0.09238118678331375,0.24365651607513428,-0.17814551293849945,0.07668802887201309,0.20263756811618805,-0.13851486146450043,-0.17392969131469727,-0.19250355660915375,0.18802683055400848,-0.17237631976604462,-0.257760226726532,0.09839025884866714,-0.011336841620504856,0.6776813864707947,-0.19713149964809418,-0.1956293135881424,0.018915297463536263,-0.2363923192024231,-0.19721661508083344,0.3710114359855652,0.24864119291305542,-0.24927428364753723,-0.22933363914489746,-0.15621109306812286,-0.2185872197151184,-0.17378206551074982,-0.14252328872680664,0.17912361025810242,-0.1533447951078415,0.12807029485702515,-0.08953718841075897,1.1131495237350464,-0.05898444727063179,0.20186294615268707,0.1173974871635437,0.11490856856107712,0.03623570129275322,-0.17776614427566528,0.20215679705142975,-0.18546713888645172,-0.14783714711666107,-0.16421003639698029,0.5305874347686768,-0.16547127068042755,0.7335224747657776,-0.25758981704711914,-0.26554200053215027,-0.08112558722496033,-0.13047876954078674,0.08658009767532349,-0.044302862137556076,0.11720206588506699,-0.13152453303337097,0.5373572111129761,-0.1313314288854599,-0.18995876610279083
1,241,764,398,921,0.6003469824790955,-0.20136316120624542,0.24493391811847687,1.0119587182998657,-0.23840396106243134,-0.1945909559726715,0.23836639523506165,-0.12453487515449524,-0.15878526866436005,-0.21079036593437195,0.33286628127098083,-0.26211386919021606,-0.029010606929659843,0.045865271240472794,0.1279110610485077,-0.18242444097995758,-0.23438119888305664,-0.09222669154405594,-0.2067764550447464,-0.1865023821592331,0.4384380877017975,-0.06718131899833679,0.7716180086135864,0.04610581696033478,0.03449612110853195,-0.06085169315338135,-0.16788922250270844,-0.1551833301782608,0.2596285343170166,0.1715594083070755,-0.0038417247124016285,-0.2330586165189743,-0.15950828790664673,0.15160982310771942,-0.14809533953666687,-0.23219019174575806,-0.22264035046100616,0.3407194912433624,-0.2588207721710205,0.18561656773090363,-0.25247037410736084,-0.1907588541507721,0.14796720445156097,0.10711868852376938,0.07294225692749023,-0.19587330520153046,-0.2074548304080963,0.4680287539958954,0.2004716396331787,0.43186718225479126,0.050013985484838486,-0.0982503667473793,0.29349714517593384,-0.23266325891017914,0.03322463110089302,0.0364791639149189,-0.2584556043148041,-0.0991542711853981,0.45866644382476807,-0.1809048354625702,0.18631263077259064,0.3314523696899414,-0.20309247076511383,-0.16630397737026215,0.17815276980400085,0.05088576301932335,-0.1985129863023758,0.6684382557868958,0.04992910847067833,0.6120557188987732,0.551961362361908,-0.12600064277648926,0.04916536808013916,0.23170378804206848,-0.17483386397361755,0.027878288179636,0.1257598102092743,-0.15612871944904327,-0.1916223168373108,-0.17693445086479187,0.17611123621463776,-0.20040403306484222,-0.24266929924488068,0.025507034733891487,-0.045125771313905716,0.6079996824264526,-0.20326539874076843,-0.20033584535121918,0.06799031794071198,-0.22259585559368134,-0.2338215559720993,0.3146042823791504,0.30130088329315186,-0.24283742904663086,-0.2301105111837387,-0.17396534979343414,-0.22318871319293976,-0.10128825902938843,-0.17731910943984985,0.1883862316608429,-0.14648491144180298,0.19680561125278473,-0.12904343008995056,0.9820759892463684,-0.1394638568162918,0.1886875182390213,0.0516204796731472,0.04272611439228058,0.030857393518090248,-0.1295098513364792,0.1484215259552002,-0.1907740980386734,-0.17024117708206177,-0.15281176567077637,0.5300295352935791,-0.18295049667358398,0.7088921666145325,-0.23900869488716125,-0.26623621582984924,-0.07656576484441757,-0.12338009476661682,0.1581416130065918,-0.0660790428519249,0.07487376779317856,-0.10489002615213394,0.388995498418808,-0.12854589521884918,-0.19777676463127136
2,1525,712,1689,876,0.549701452255249,-0.1686253547668457,0.27921953797340393,1.0329378843307495,-0.127826526761055,-0.20622920989990234,0.1906416267156601,-0.07045365869998932,-0.17001965641975403,-0.20923691987991333,0.27556902170181274,-0.24494275450706482,-0.01113562099635601,0.09065379202365875,0.14934729039669037,-0.18673375248908997,-0.1714349091053009,-0.08828084915876389,-0.19508203864097595,-0.21229609847068787,0.5984059572219849,-0.05937415361404419,0.8258970379829407,-0.07898975163698196,0.08330141007900238,-0.05374790355563164,-0.17542383074760437,-0.10349304229021072,0.24607691168785095,0.21102213859558105,0.0387178510427475,-0.2574003040790558,-0.17446817457675934,0.11854305863380432,-0.1389240175485611,-0.21292127668857574,-0.21044686436653137,0.291640967130661,-0.24181511998176575,0.07474586367607117,-0.2367899864912033,-0.16521820425987244,0.15303917229175568,0.09746731072664261,0.06347353011369705,-0.17825187742710114,-0.11039577424526215,0.4441811442375183,0.1718176007270813,0.42353010177612305,0.034218091517686844,-0.11327175050973892,0.3156909942626953,-0.2337828129529953,0.08749889582395554,0.23198455572128296,-0.2603086233139038,-0.10671171545982361,0.5635026693344116,-0.1841948926448822,0.13967369496822357,0.35525640845298767,-0.2198060005903244,-0.16468611359596252,0.0984664186835289,0.04639593884348869,-0.21107621490955353,0.6548312902450562,-0.03707294166088104,0.555181622505188,0.4164615869522095,-0.12245076149702072,0.045892488211393356,0.3522108197212219,-0.1649027168750763,0.0484895259141922,0.11967688798904419,-0.10449357330799103,-0.1519010365009308,-0.018728574737906456,0.15594491362571716,-0.13601769506931305,-0.2490873783826828,0.016904527321457863,0.013397756032645702,0.6795775890350342,-0.12455035746097565,-0.20741987228393555,0.06722024828195572,-0.1612558662891388,-0.2145405262708664,0.2914106547832489,0.443698525428772,-0.24729974567890167,-0.22610192000865936,-0.15118402242660522,-0.21148641407489777,-0.0488179475069046,-0.15808914601802826,0.1587170511484146,-0.16974323987960815,0.17824426293373108,-0.15970338881015778,1.0222846269607544,-0.08231557905673981,0.1524091511964798,0.08321399241685867,0.06977779418230057,0.0892094224691391,-0.14071230590343475,0.10142280161380768,-0.13867639005184174,-0.21406345069408417,-0.1826099008321762,0.5682430267333984,-0.16403326392173767,0.6883050799369812,-0.2525544762611389,-0.25612595677375793,-0.0806807428598404,-0.1301431506872177,0.1419389843940735,-0.07141388207674026,0.029059918597340584,-0.11710641533136368,0.39337703585624695,-0.189846470952034,-0.19618691504001617
3,581,354,751,523,0.6525591611862183,-0.18887515366077423,0.2651323974132538,1.0261850357055664,-0.20185843110084534,-0.20426425337791443,0.24967575073242188,-0.09053004533052444,-0.12999089062213898,-0.21846918761730194,0.2734975516796112,-0.22716881334781647,-0.06665937602519989,0.07597634196281433,0.19553448259830475,-0.1897023618221283,-0.16627465188503265,-0.09704136848449707,-0.16025400161743164,-0.20737269520759583,0.824996292591095,-0.08209693431854248,0.8866204619407654,-0.08661894500255585,-0.009267325513064861,0.015407737344503403,-0.20382100343704224,-0.1634361892938614,0.40242964029312134,0.19371159374713898,0.04712122306227684,-0.24529318511486053,-0.1819993555545807,0.11703666299581528,-0.130427747964859,-0.17139169573783875,-0.2139662802219391,0.21284328401088715,-0.21770638227462769,0.016525546088814735,-0.2449430525302887,-0.16852976381778717,0.1215520054101944,0.13013263046741486,0.06530777364969254,-0.18730872869491577,-0.14596156775951385,0.5126586556434631,0.16638466715812683,0.472604364156723,-0.01578456535935402,-0.055782318115234375,0.3762766718864441,-0.23929934203624725,0.08324386179447174,0.18560682237148285,-0.24840903282165527,-0.05623134225606918,0.6023641228675842,-0.1895577311515808,0.22932326793670654,0.2880321741104126,-0.20977681875228882,-0.12636496126651764,0.09586109220981598,0.057658832520246506,-0.16967998445034027,0.640688955783844,-0.05142579600214958,0.5969391465187073,0.36905771493911743,-0.11128996312618256,0.10002011805772781,0.40093743801116943,-0.1647883653640747,0.05502045899629593,0.26356998085975647,-0.06478600203990936,-0.11897584050893784,-0.1603480577468872,0.11991516500711441,-0.1587619036436081,-0.25815585255622864,0.0036465537268668413,0.03324952349066734,0.7146047353744507,-0.11541813611984253,-0.18697847425937653,-0.02852587215602398,-0.21569620072841644,-0.19221489131450653,0.235355943441391,0.499737948179245,-0.2446158230304718,-0.24334147572517395,-0.13485926389694214,-0.21447381377220154,-0.13205574452877045,-0.16714757680892944,0.1723138689994812,-0.18450705707073212,0.07961907237768173,-0.18063412606716156,1.0032434463500977,-0.021746162325143814,0.1699504852294922,0.04036052152514458,0.10604814440011978,0.07437312602996826,-0.16441388428211212,0.21334388852119446,-0.12934859097003937,-0.20690582692623138,-0.17880697548389435,0.6045482158660889,-0.15040656924247742,0.7874144315719604,-0.24070754647254944,-0.25907278060913086,-0.08512675762176514,-0.13922019302845,0.1481522172689438,-0.048546839505434036,0.03270721063017845,-0.13563698530197144,0.40130338072776794,-0.1897679567337036,-0.20602336525917053
4,1038,835,1210,1006,0.5887300372123718,-0.16793830692768097,0.2942734956741333,1.0257848501205444,-0.13326148688793182,-0.21109341084957123,0.1429017335176468,-0.06942401081323624,-0.13730458915233612,-0.22387637197971344,0.30642372369766235,-0.2229180634021759,-0.007153993938118219,0.06997543573379517,0.12903419137001038,-0.18140442669391632,-0.19590385258197784,-0.09985395520925522,-0.21552032232284546,-0.2067747712135315,0.6653072237968445,-0.05417143553495407,0.8615326285362244,-0.08349638432264328,0.014348630793392658,-0.0397258922457695,-0.1922917664051056,-0.16310900449752808,0.33762213587760925,0.2235933393239975,0.033587366342544556,-0.2457420974969864,-0.18708549439907074,0.08762363344430923,-0.14266137778759003,-0.1798345148563385,-0.2106594443321228,0.2515222430229187,-0.24071061611175537,0.02784864790737629,-0.2413044273853302,-0.16145728528499603,0.10443858802318573,0.12190791964530945,0.03390277922153473,-0.17785897850990295,-0.11438857764005661,0.5191456079483032,0.11582022160291672,0.4272324740886688,0.005801183637231588,-0.09999934583902359,0.3291480243206024,-0.2278779000043869,0.06785199791193008,0.11414099484682083,-0.25066614151000977,-0.10050923377275467,0.5318431258201599,-0.18066838383674622,0.14717915654182434,0.3536188006401062,-0.19758053123950958,-0.11191223561763763,0.08488582074642181,0.010251307860016823,-0.2115311473608017,0.6318222284317017,-0.029423046857118607,0.5843256115913391,0.44682368636131287,-0.1158251240849495,0.0619388185441494,0.34021198749542236,-0.1651136726140976,0.021956916898489,0.17802214622497559,-0.0934324860572815,-0.12238103151321411,-0.10492945462465286,0.12090222537517548,-0.14982149004936218,-0.2642174959182739,-0.005411062855273485,-0.03462442010641098,0.6847216486930847,-0.11348988860845566,-0.1991027295589447,0.03272333741188049,-0.18879009783267975,-0.20964209735393524,0.25465157628059387,0.49277132749557495,-0.24556422233581543,-0.23079632222652435,-0.14988872408866882,-0.21968241035938263,-0.10151638835668564,-0.17478704452514648,0.17118386924266815,-0.1835029125213623,0.13525794446468353,-0.1507432609796524,0.9345924258232117,-0.07415091246366501,0.17169061303138733,0.03965924680233002,0.05979915335774422,0.10381431877613068,-0.15635690093040466,0.13974100351333618,-0.12387337535619736,-0.2127188742160797,-0.18110892176628113,0.5519996881484985,-0.15798825025558472,0.6664461493492126,-0.2537202835083008,-0.25947099924087524,-0.08013631403446198,-0.14444074034690857,0.14491373300552368,-0.05839419737458229,0.02130517177283764,-0.1259944587945938,0.2801847457885742,-0.1846502423286438,-0.20350776612758636
5,610,1012,764,1165,0.6349461078643799,-0.1825898289680481,0.3215390741825104,1.020939826965332,-0.1704959124326706,-0.2264942079782486,0.18321025371551514,-0.10560328513383865,-0.1680939793586731,-0.21330256760120392,0.31139230728149414,-0.24634361267089844,-0.05742701515555382,0.06901010870933533,0.16712795197963715,-0.18538513779640198,-0.2032492756843567,-0.05472143739461899,-0.1819915473461151,-0.19854409992694855,0.58286052942276,-0.06989947706460953,0.9244770407676697,-0.05894757807254791,0.024305934086441994,-0.038023803383111954,-0.19023317098617554,-0.15760840475559235,0.3718079924583435,0.23752461373806,0.021243346855044365,-0.24707037210464478,-0.1661962866783142,0.10335011780261993,-0.14787158370018005,-0.19796133041381836,-0.2159651666879654,0.34381547570228577,-0.22467772662639618,0.08124762028455734,-0.241775780916214,-0.17347846925258636,0.15758547186851501,0.17633353173732758,0.0639539510011673,-0.17488008737564087,-0.14489753544330597,0.5134311318397522,0.12338360399007797,0.5148247480392456,-0.013624440878629684,-0.07959432899951935,0.3974466323852539,-0.2311427891254425,0.11247354000806808,0.05960804969072342,-0.23974519968032837,-0.08465061336755753,0.5566620826721191,-0.18760903179645538,0.1889370083808899,0.31121397018432617,-0.1960621476173401,-0.09709323197603226,0.10422851145267487,0.10262218862771988,-0.1935136914253235,0.6046766638755798,-0.025824496522545815,0.5530334115028381,0.44311678409576416,-0.13235540688037872,0.08242858946323395,0.282156378030777,-0.17321009933948517,0.030361520126461983,0.17075906693935394,-0.11609898507595062,-0.15234635770320892,0.011572811752557755,0.14514467120170593,-0.1874174028635025,-0.25864377617836,0.04842522367835045,-0.023196132853627205,0.624115526676178,-0.1400233805179596,-0.187927708029747,0.07599642872810364,-0.19777648150920868,-0.2282160073518753,0.2490871250629425,0.5147560834884644,-0.24628035724163055,-0.20622800290584564,-0.16733776032924652,-0.2119520753622055,-0.10895313322544098,-0.17440325021743774,0.17604771256446838,-0.1572474092245102,0.1117495596408844,-0.1560729444026947,0.8824753165245056,-0.06234852597117424,0.13813342154026031,0.049066271632909775,0.1341940313577652,0.09745349735021591,-0.15550528466701508,0.13581816852092743,-0.15620481967926025,-0.19533830881118774,-0.1646175980567932,0.5912039279937744,-0.1652994453907013,0.7599595189094543,-0.220563143491745,-0.25634104013442993,-0.08363417536020279,-0.13136082887649536,0.1704476922750473,-0.032277338206768036,0.030764486640691757,-0.11775284260511398,0.3722440004348755,-0.16557225584983826,-0.20313142240047455
6,425,1424,609,1609,0.6586918830871582,-0.17395052313804626,0.2606712877750397,1.0290762186050415,-0.20328734815120697,-0.193828746676445,0.13582967221736908,-0.07984361052513123,-0.1358812153339386,-0.20428870618343353,0.2289007157087326,-0.21856829524040222,-0.020417403429746628,0.0643436387181282,0.20938287675380707,-0.1757325828075409,-0.20758822560310364,-0.05061526224017143,-0.19905923306941986,-0.1872899979352951,0.6815332770347595,-0.05336269363760948,0.8649724721908569,-0.08347716182470322,-0.005165333393961191,-0.0043136440217494965,-0.18840643763542175,-0.16737046837806702,0.3655955195426941,0.26696914434432983,0.0628979504108429,-0.25100699067115784,-0.16751253604888916,0.09848833829164505,-0.13784687221050262,-0.16635477542877197,-0.2114710807800293,0.24071121215820312,-0.22412852942943573,0.009926265105605125,-0.24400128424167633,-0.16358597576618195,0.11388851702213287,0.11669337749481201,0.09670620411634445,-0.17627131938934326,-0.11508087068796158,0.4706927537918091,0.13944704830646515,0.4004451036453247,0.003508688183501363,-0.05011819303035736,0.39167091250419617,-0.22974421083927155,0.09843414276838303,0.07153970003128052,-0.23412933945655823,-0.03233195096254349,0.5855450630187988,-0.19704285264015198,0.18137642741203308,0.3692736327648163,-0.1898190975189209,-0.1260603815317154,0.08627191931009293,0.035606905817985535,-0.16034723818302155,0.5799760222434998,-0.05411556363105774,0.5369835495948792,0.4256959855556488,-0.12470614910125732,0.10165809839963913,0.3885343372821808,-0.15144763886928558,0.019228870049118996,0.20840726792812347,-0.08088649064302444,-0.1364949494600296,-0.1106962189078331,0.12350283563137054,-0.16711322963237762,-0.26215553283691406,0.01805853843688965,0.0319620817899704,0.6734688878059387,-0.07040395587682724,-0.1900290697813034,-0.007368092425167561,-0.2151595503091812,-0.19063396751880646,0.2206941694021225,0.5280716419219971,-0.24757106602191925,-0.2306290864944458,-0.15139193832874298,-0.2112567275762558,-0.11154786497354507,-0.16333647072315216,0.16721028089523315,-0.17155717313289642,0.17323163151741028,-0.17693723738193512,0.9090424180030823,-0.05922538787126541,0.20410285890102386,0.055330730974674225,0.13667722046375275,0.061628345400094986,-0.13445624709129333,0.15185002982616425,-0.129683256149292,-0.21976301074028015,-0.17899519205093384,0.6052715182304382,-0.1576475203037262,0.7142429351806641,-0.23013931512832642,-0.25393807888031006,-0.08553606271743774,-0.13500092923641205,0.1935693323612213,-0.06512274593114853,0.020273340865969658,-0.11108911037445068,0.34105128049850464,-0.18139401078224182,-0.198703795671463
7,731,481,843,593,0.5705294609069824,-0.17078326642513275,0.24942255020141602,1.016856074333191,-0.19037634134292603,-0.17676933109760284,0.35856080055236816,-0.1246652603149414,-0.12792232632637024,-0.25836917757987976,0.2953926622867584,-0.237172469496727,-0.1152130737900734,0.08404099196195602,0.25847482681274414,-0.23626326024532318,-0.053763605654239655,-0.13286559283733368,0.28020045161247253,-0.22948451340198517,1.401717185974121,-0.1698525846004486,0.8757930994033813,-0.09004578739404678,-0.05608179792761803,0.07675547152757645,-0.22276301681995392,-0.08888965100049973,0.4351242482662201,0.2590010464191437,-0.014881148934364319,-0.2418045997619629,-0.22571542859077454,0.14871835708618164,-0.0904078558087349,-0.19738978147506714,-0.22300198674201965,0.2165745347738266,-0.2049083262681961,0.02011394314467907,-0.2402106374502182,-0.18252278864383698,0.06879302114248276,0.2073667347431183,0.14286521077156067,-0.226399764418602,-0.22182153165340424,0.46336713433265686,0.2774471938610077,0.8302759528160095,0.005585927050560713,-0.07409581542015076,0.4970792233943939,-0.26598963141441345,0.022056369110941887,0.606200635433197,-0.25547853112220764,-0.019954023882746696,0.6912930011749268,-0.19823186099529266,0.418801873922348,0.2563060522079468,-0.23383164405822754,-0.159656822681427,0.054292839020490646,0.05043601989746094,-0.11551356315612793,0.5386674404144287,-0.054250407963991165,0.8495401740074158,0.2196366786956787,-0.06106055900454521,0.12741319835186005,0.6956619620323181,-0.19928975403308868,0.22443556785583496,0.3250173032283783,0.012351657263934612,-0.09647081047296524,-0.21828602254390717,0.09394438564777374,-0.13280661404132843,-0.2655259072780609,0.3123036026954651,0.05321141704916954,0.5501219630241394,-0.22782841324806213,-0.1968630850315094,-0.05013151094317436,-0.2566307485103607,-0.181854709982872,0.28109484910964966,0.2605370581150055,-0.23841293156147003,-0.24569983780384064,-0.05045437812805176,-0.23270706832408905,-0.1546029895544052,-0.156965970993042,0.17946957051753998,-0.2076239138841629,-0.00363771035335958,-0.21582606434822083,1.2096446752548218,0.22471360862255096,0.08096412569284439,0.11088120192289352,0.3186187446117401,-0.0037717611994594336,-0.20395174622535706,0.3054374158382416,-0.14106734097003937,-0.2273540496826172,-0.2223220318555832,0.6689667105674744,-0.10980620235204697,1.112065315246582,-0.23988135159015656,-0.25893691182136536,-0.1109536662697792,-0.16157293319702148,-0.007391573395580053,0.05562179163098335,0.17413035035133362,-0.1724550724029541,0.7497129440307617,-0.17246580123901367,-0.21176636219024658
8,882,462,1091,671,0.6444975733757019,-0.15766310691833496,0.22467833757400513,1.02010977268219,-0.09618985652923584,-0.17620813846588135,0.13858962059020996,-0.06018788740038872,-0.1137697845697403,-0.19658780097961426,0.16360260546207428,-0.14326830208301544,-0.04911398887634277,0.06788308918476105,0.18293343484401703,-0.1629416048526764,-0.1593603789806366,-0.05250159651041031,-0.16387075185775757,-0.20323947072029114,0.778318464756012,-0.04260919243097305,0.8143746852874756,-0.11300830543041229,-0.03327377885580063,-0.03196602687239647,-0.19772988557815552,-0.15192556381225586,0.2996915280818939,0.238304004073143,0.03724126145243645,-0.2518875300884247,-0.1752808839082718,0.06712129712104797,-0.12197670340538025,-0.1469535380601883,-0.20869912207126617,0.16718177497386932,-0.177704319357872,-0.03488936275243759,-0.23495285212993622,-0.15590006113052368,0.10675280541181564,0.0352250337600708,0.16896505653858185,-0.16606977581977844,-0.09222662448883057,0.4674205780029297,0.14996299147605896,0.4122118055820465,0.05544225126504898,-0.04484746232628822,0.24971941113471985,-0.23603549599647522,0.1301804482936859,0.18266136944293976,-0.2384096086025238,0.005835795775055885,0.6069950461387634,-0.1905333548784256,0.2754805386066437,0.3859119415283203,-0.19361335039138794,-0.10953011363744736,0.0424877293407917,0.03236297890543938,-0.14941662549972534,0.49120619893074036,-0.07607736438512802,0.6189590096473694,0.3640877604484558,-0.1186685636639595,0.11979322135448456,0.6718175411224365,-0.12333369255065918,-0.0019356794655323029,0.22072143852710724,-0.07409504055976868,-0.13067269325256348,-0.09658434987068176,0.07667718827724457,-0.13942250609397888,-0.25174224376678467,-0.023548007011413574,0.13218870759010315,0.7320123910903931,0.018877342343330383,-0.17484687268733978,0.02333720400929451,-0.21453309059143066,-0.21212978661060333,0.22134310007095337,0.6308410167694092,-0.2421407401561737,-0.23388227820396423,-0.10897612571716309,-0.21321001648902893,-0.023286961019039154,-0.17225779592990875,0.16827088594436646,-0.20206111669540405,0.1274126172065735,-0.18286827206611633,0.9967126846313477,-0.06611676514148712,0.12566009163856506,0.07443232834339142,0.18375656008720398,0.06376855075359344,-0.10444948077201843,0.1587657332420349,-0.09884091466665268,-0.22687377035617828,-0.17794635891914368,0.6736728549003601,-0.1355724036693573,0.7227222919464111,-0.23422987759113312,-0.24774062633514404,-0.04273322969675064,-0.1362432837486267,0.1935657262802124,-0.03171130269765854,0.014613544568419456,-0.12394823879003525,0.33850738406181335,-0.22975760698318481,-0.2082984745502472
9,1066,1106,1225,1263,0.6899206638336182,-0.17581020295619965,0.2757277190685272,1.036889910697937,-0.13196726143360138,-0.21222753822803497,0.24464455246925354,-0.050892509520053864,-0.14945726096630096,-0.23262529075145721,0.2212681621313095,-0.23146921396255493,-0.04516766965389252,0.11726480722427368,0.18412941694259644,-0.19221718609333038,-0.1622803509235382,-0.06902465969324112,-0.14141806960105896,-0.18725283443927765,0.8914304375648499,-0.08694032579660416,0.8902577757835388,-0.10741399973630905,-0.005439504981040955,0.05210068076848984,-0.20490923523902893,-0.15581244230270386,0.38248804211616516,0.21862925589084625,0.08329394459724426,-0.2455398291349411,-0.1983923316001892,0.11108847707509995,-0.12479458004236221,-0.16368575394153595,-0.20621737837791443,0.21937549114227295,-0.21280816197395325,-0.0187671035528183,-0.24540464580059052,-0.1571323126554489,0.12129149585962296,0.16176289319992065,0.07947400957345963,-0.17671148478984833,-0.13739009201526642,0.45718055963516235,0.16670121252536774,0.4693157374858856,0.020980926230549812,-0.05996208265423775,0.40465155243873596,-0.24479752779006958,0.07271758466959,0.3141349256038666,-0.24803277850151062,-0.03922926262021065,0.6585553288459778,-0.1741163283586502,0.1694951355457306,0.2926015853881836,-0.20971262454986572,-0.12483592331409454,0.11035291105508804,0.043254122138023376,-0.17821957170963287,0.7043133974075317,-0.0936894491314888,0.6205073595046997,0.35494643449783325,-0.09309590607881546,0.0927731990814209,0.3782847821712494,-0.16210366785526276,0.09984986484050751,0.299735963344574,-0.027904724702239037,-0.1340189278125763,-0.11033265292644501,0.12432070821523666,-0.13355594873428345,-0.24759896099567413,0.01006265264004469,0.040330175310373306,0.6568601727485657,-0.16012965142726898,-0.1859579235315323,-0.031191715970635414,-0.21678780019283295,-0.17496930062770844,0.24377404153347015,0.4857587516307831,-0.24688804149627686,-0.2416616827249527,-0.1261095255613327,-0.21405969560146332,-0.13882124423980713,-0.1648058146238327,0.15440717339515686,-0.1929333359003067,0.12268156558275223,-0.172779843211174,0.9775667786598206,0.04163479059934616,0.14607901871204376,0.024586310610175133,0.08083967864513397,0.05425494536757469,-0.15738065540790558,0.26763078570365906,-0.09725689142942429,-0.21842364966869354,-0.19211667776107788,0.61322021484375,-0.13505788147449493,0.7570708990097046,-0.2449234127998352,-0.25812283158302307,-0.08945974707603455,-0.1486266553401947,0.10034602135419846,-0.05629574507474899,0.0337061882019043,-0.13922250270843506,0.3630833327770233,-0.19220122694969177,-0.20383670926094055
