epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21376.9,0.98463,0.418,1.03234,0.9687,0.93871,0.97449,0.71104,0.88464,0.59682,0.95842,0.0089751,0.0089751,0.0089751
43,21812.2,0.98065,0.41425,1.03089,0.97036,0.94174,0.9745,0.71312,0.88418,0.68167,0.95915,0.0089501,0.0089501,0.0089501
44,22246.2,0.98332,0.41754,1.03068,0.96952,0.94004,0.97343,0.71317,0.88232,0.74147,0.95833,0.00892511,0.00892511,0.00892511
45,22685.7,0.98202,0.41553,1.02972,0.97033,0.93965,0.97456,0.71309,0.88326,0.69418,0.95807,0.00890011,0.00890011,0.00890011
46,23118.3,0.97863,0.41276,1.02977,0.97049,0.94075,0.97423,0.71447,0.8802,0.71895,0.95783,0.00887511,0.00887511,0.00887511
47,23551.2,0.97671,0.41352,1.02811,0.97102,0.93962,0.9739,0.71462,0.87956,0.7291,0.95706,0.00885012,0.00885012,0.00885012
48,23984.2,0.97759,0.41237,1.02917,0.97103,0.94197,0.97543,0.71578,0.87969,0.58476,0.95687,0.00882512,0.00882512,0.00882512
49,24416.5,0.97765,0.41314,1.02978,0.96997,0.94078,0.97491,0.71463,0.88013,0.58589,0.95735,0.00880012,0.00880012,0.00880012
50,24849.4,0.97229,0.40974,1.02865,0.97063,0.94226,0.97576,0.7158,0.87774,0.59403,0.95578,0.00877512,0.00877512,0.00877512
51,25282.6,0.97696,0.41178,1.02815,0.96991,0.94249,0.97548,0.71577,0.87908,0.60743,0.95694,0.00875012,0.00875012,0.00875012
52,25715.4,0.97276,0.41145,1.02758,0.97025,0.94256,0.97531,0.71514,0.87889,0.61564,0.95658,0.00872513,0.00872513,0.00872513
53,26152.6,0.97251,0.41076,1.02524,0.97259,0.94194,0.97533,0.71732,0.87789,0.65833,0.95601,0.00870013,0.00870013,0.00870013
54,26584.9,0.97012,0.40846,1.02651,0.9725,0.94295,0.97579,0.71688,0.87707,0.65193,0.9555,0.00867513,0.00867513,0.00867513
55,27017.8,0.97141,0.4074,1.02566,0.97183,0.94382,0.9762,0.71785,0.87482,0.64364,0.95444,0.00865013,0.00865013,0.00865013
56,27451.3,0.9683,0.40804,1.02493,0.97111,0.94508,0.97637,0.71801,0.8746,0.59746,0.95403,0.00862514,0.00862514,0.00862514
57,27886.5,0.96861,0.40623,1.02553,0.97107,0.94332,0.97643,0.7191,0.87388,0.58517,0.9542,0.00860014,0.00860014,0.00860014
58,28332.3,0.96613,0.40614,1.02237,0.97186,0.94371,0.97635,0.71931,0.87375,0.61066,0.95397,0.00857514,0.00857514,0.00857514
59,28764.8,0.96744,0.407,1.02321,0.97189,0.94274,0.97608,0.71934,0.87343,0.6895,0.95408,0.00855015,0.00855015,0.00855015
60,29196.9,0.96696,0.40627,1.02434,0.97227,0.94276,0.97608,0.71916,0.87358,0.68483,0.95398,0.00852515,0.00852515,0.00852515
61,29629.5,0.96835,0.40566,1.0242,0.97226,0.9434,0.97598,0.71913,0.87414,0.73099,0.95395,0.00850015,0.00850015,0.00850015
62,30061.9,0.96588,0.40386,1.02462,0.97209,0.94388,0.9766,0.71979,0.87253,0.64063,0.95345,0.00847515,0.00847515,0.00847515
63,30494.2,0.96106,0.40186,1.02128,0.97128,0.94482,0.97665,0.72015,0.87283,0.62601,0.95384,0.00845015,0.00845015,0.00845015
64,30927.6,0.96676,0.40598,1.02424,0.97219,0.94465,0.9766,0.71967,0.87399,0.60382,0.95378,0.00842516,0.00842516,0.00842516
65,31359.6,0.96131,0.40127,1.0234,0.97138,0.94537,0.97659,0.71997,0.87307,0.60511,0.95328,0.00840016,0.00840016,0.00840016
66,31791.6,0.96287,0.4033,1.02241,0.97157,0.94562,0.97671,0.72003,0.87338,0.59791,0.95367,0.00837516,0.00837516,0.00837516
67,32223.5,0.96244,0.40361,1.02335,0.97146,0.94562,0.97647,0.72014,0.87257,0.6431,0.95313,0.00835016,0.00835016,0.00835016
68,32655.1,0.95957,0.40145,1.02161,0.97179,0.94616,0.97664,0.72045,0.87202,0.63146,0.95275,0.00832517,0.00832517,0.00832517
69,33086.9,0.95938,0.39978,1.02103,0.97156,0.94529,0.97656,0.72069,0.87118,0.68412,0.95257,0.00830017,0.00830017,0.00830017
70,33518.8,0.9566,0.40017,1.01873,0.97204,0.94521,0.97657,0.7212,0.8703,0.64032,0.95203,0.00827517,0.00827517,0.00827517
71,33950.7,0.95876,0.40091,1.02092,0.97192,0.94544,0.97655,0.72141,0.86974,0.62014,0.95179,0.00825018,0.00825018,0.00825018
72,34382.8,0.96466,0.40428,1.02087,0.97239,0.94541,0.97681,0.72165,0.86931,0.64152,0.95165,0.00822518,0.00822518,0.00822518
73,34814.9,0.95543,0.39925,1.01849,0.97125,0.94621,0.97673,0.72167,0.86919,0.63545,0.95155,0.00820018,0.00820018,0.00820018
74,35246.2,0.95233,0.39946,1.01606,0.97203,0.94584,0.97659,0.7216,0.86914,0.6086,0.95126,0.00817518,0.00817518,0.00817518
75,35679,0.94963,0.39792,1.01831,0.97275,0.94524,0.97646,0.7216,0.86929,0.62624,0.95115,0.00815019,0.00815019,0.00815019
76,36133.5,0.94984,0.39806,1.01705,0.97301,0.94503,0.97653,0.72208,0.86822,0.66717,0.95097,0.00812519,0.00812519,0.00812519
77,36565.9,0.95035,0.39837,1.0184,0.97289,0.94488,0.97656,0.72258,0.86752,0.6673,0.95087,0.00810019,0.00810019,0.00810019
78,36998,0.94668,0.39674,1.0188,0.97291,0.94536,0.97656,0.7226,0.86672,0.64319,0.95074,0.00807519,0.00807519,0.00807519
79,37430.2,0.94284,0.39546,1.0146,0.9729,0.94501,0.97681,0.72318,0.86568,0.63038,0.95049,0.00805019,0.00805019,0.00805019
80,37862.8,0.9408,0.39393,1.01519,0.97254,0.94543,0.97693,0.72358,0.86464,0.60997,0.9502,0.0080252,0.0080252,0.0080252
81,38295.4,0.94076,0.39288,1.01539,0.97302,0.94507,0.97706,0.72436,0.8637,0.59457,0.95001,0.0080002,0.0080002,0.0080002
82,38729.5,0.94069,0.39238,1.0144,0.97266,0.94537,0.97715,0.72489,0.86279,0.59641,0.94992,0.0079752,0.0079752,0.0079752
83,39161.8,0.94017,0.39409,1.01416,0.97268,0.94524,0.97715,0.72532,0.86176,0.59439,0.94967,0.00795021,0.00795021,0.00795021
84,39604.1,0.94048,0.39368,1.01465,0.97337,0.94505,0.97736,0.72569,0.86126,0.58889,0.94948,0.00792521,0.00792521,0.00792521
85,40037,0.93616,0.39227,1.01368,0.97315,0.94519,0.97737,0.72593,0.86058,0.58556,0.9493,0.00790021,0.00790021,0.00790021
86,40469,0.93571,0.39134,1.01311,0.97264,0.94564,0.97734,0.7262,0.85994,0.58577,0.94917,0.00787521,0.00787521,0.00787521
87,40901.4,0.93791,0.39126,1.01372,0.97274,0.94585,0.97737,0.72635,0.85927,0.58336,0.94905,0.00785022,0.00785022,0.00785022
88,41338.4,0.93755,0.39111,1.01376,0.97274,0.94578,0.97744,0.7266,0.85877,0.58132,0.94888,0.00782522,0.00782522,0.00782522
89,41771.1,0.93833,0.39074,1.01406,0.97273,0.94559,0.97741,0.72674,0.85838,0.57775,0.94884,0.00780022,0.00780022,0.00780022
90,42203.3,0.93454,0.38919,1.01253,0.97282,0.94557,0.97734,0.72679,0.858,0.57541,0.94874,0.00777522,0.00777522,0.00777522
91,42634.8,0.93666,0.38991,1.01286,0.97308,0.94547,0.97729,0.72689,0.85763,0.57612,0.94869,0.00775023,0.00775023,0.00775023
92,43067.4,0.93462,0.38995,1.01178,0.97341,0.94564,0.97739,0.72692,0.85752,0.57693,0.94869,0.00772523,0.00772523,0.00772523
93,46652.7,0.93294,0.38919,1.01101,0.97323,0.94588,0.97745,0.72711,0.85744,0.57714,0.94877,0.00770023,0.00770023,0.00770023
94,47700.3,0.93327,0.39029,1.00896,0.9725,0.94647,0.9774,0.72699,0.85736,0.57782,0.94878,0.00767523,0.00767523,0.00767523
95,48132.3,0.93155,0.38741,1.01052,0.97282,0.94619,0.97743,0.72706,0.85749,0.57931,0.9488,0.00765024,0.00765024,0.00765024
96,48565.1,0.93623,0.38905,1.0136,0.97325,0.94606,0.97747,0.72712,0.8574,0.57962,0.94876,0.00762524,0.00762524,0.00762524
97,49935.9,0.93281,0.38813,1.01083,0.97337,0.94599,0.97752,0.72722,0.85739,0.579,0.9487,0.00760024,0.00760024,0.00760024
98,50418.7,0.93257,0.38825,1.0102,0.97364,0.94567,0.9775,0.72731,0.85724,0.58077,0.94867,0.00757524,0.00757524,0.00757524
99,50850.2,0.92875,0.3862,1.01119,0.97417,0.94529,0.97754,0.7273,0.85723,0.58076,0.9487,0.00755024,0.00755024,0.00755024
100,51282,0.93099,0.38576,1.01233,0.97409,0.94525,0.97755,0.72708,0.85712,0.5818,0.94875,0.00752525,0.00752525,0.00752525
101,51713.4,0.92965,0.38684,1.01068,0.97427,0.94535,0.97767,0.7271,0.85696,0.58218,0.94874,0.00750025,0.00750025,0.00750025
102,52144.8,0.9301,0.38552,1.0094,0.97413,0.94561,0.97772,0.72726,0.85681,0.5813,0.94872,0.00747525,0.00747525,0.00747525
103,52576.3,0.92898,0.38792,1.01046,0.97417,0.94567,0.97777,0.72729,0.85674,0.58196,0.9486,0.00745026,0.00745026,0.00745026
104,53007.4,0.92703,0.3842,1.00782,0.97396,0.94587,0.97785,0.72744,0.85658,0.57866,0.94859,0.00742526,0.00742526,0.00742526
105,53438.6,0.92352,0.38434,1.00908,0.97413,0.94585,0.97782,0.72753,0.85661,0.57939,0.9486,0.00740026,0.00740026,0.00740026
106,53870,0.92669,0.38316,1.00849,0.97408,0.94606,0.97802,0.72756,0.85657,0.57899,0.94868,0.00737526,0.00737526,0.00737526
107,54301.2,0.92818,0.38358,1.0109,0.97374,0.94614,0.97784,0.72757,0.85646,0.57735,0.94861,0.00735027,0.00735027,0.00735027
108,54734,0.92417,0.38225,1.00813,0.97359,0.9462,0.97792,0.72781,0.85635,0.57791,0.94859,0.00732527,0.00732527,0.00732527
109,55165.4,0.92347,0.38216,1.00799,0.97381,0.94588,0.97786,0.72794,0.85626,0.57759,0.9486,0.00730027,0.00730027,0.00730027
110,55597.2,0.92395,0.38322,1.01079,0.97417,0.94588,0.9779,0.72814,0.85606,0.57893,0.94852,0.00727527,0.00727527,0.00727527
